Index,Period_3_commu,Period_1_commu,Period_2_commu,Background
1974428329,9,,,political science
2106078536,9,,36,sociology
2111391052,9,,,medicine
2117327278,9,,,sociology
2140746097,9,,36,geography
2148136300,9,,,psychology
2751361182,9,,,sociology
36861021,473,,103,computer science
1991956701,473,,103,political science
2086959977,473,,103,medicine
2088182740,473,,103,medicine
2113303599,473,,103,medicine
2404363395,473,,103,psychology
36886011,1021,,975,mathematics
1983999465,1021,,,computer science
2028342222,1021,,,computer science
2192779830,1021,,975,computer science
2276173523,1021,,,sociology
2306508259,1021,,,political science
2780458598,1021,,,art
36923365,438,,102,biology
2034441003,438,,102,engineering
2338083002,438,,102,biology
2669345520,438,,102,biology
2717662872,438,,102,biology
2795555259,438,,102,biology
37216928,4271,,,political science
1976866195,4271,,,sociology
37553285,4272,,,computer science
2176618785,4272,,,computer science
1963977986,5,,,human computer interaction
2159531867,5,,,geography
2201099618,5,,,computer science
2105699023,5,,,biology
2119022519,5,,,computer science
2744101731,5,,,engineering
2602704165,5,,,sociology
2173052064,5,,,biology
2218270287,5,,,computer science
2516592702,5,,,sociology
2794971991,5,,,psychology
2597640951,5,,,sociology
2789928308,5,,,sociology
2512517263,5,,,medicine
2578914162,5,,,computer science
2743469910,5,,,geography
167258465,5,,63,geology
189686424,5,,63,geography
1819379659,5,,,sociology
2083909347,5,,,psychology
2494571233,5,,63,computer science
37938808,2404,,,computer science
2667136893,2404,,,computer science
2943564016,2404,,,geography
37951088,121,,,medicine
2068819091,121,,,medicine
2107796982,121,,,medicine
2597852655,121,,,medicine
2770793389,121,,,medicine
2040360474,121,,,medicine
2111033188,121,,,psychology
2118661988,121,,,biology
2767905186,121,,,medicine
2779723306,121,,,biology
38527356,261,,,computer science
2039806596,261,,,computer science
2128833043,261,,,computer science
2172290114,261,,521,computer science
2226083048,261,,,computer science
2444177975,261,,,computer science
2091485889,261,,521,computer science
2104262328,261,,,computer science
2229176828,261,,521,computer science
2297760522,261,,,computer science
39828154,776,,212,computer science
42206004,776,,212,computer science
299773070,776,,212,mathematics
2169022347,776,,212,geography
2527202636,776,,212,medicine
300091111,4,,,sociology
2146905788,4,,42,art
2443665881,4,,,sociology
1500214306,4,,,computer science
2048090893,4,,42,sociology
2049493959,4,,42,political science
2057598208,4,,,political science
2102277126,4,,42,engineering
2103522642,4,,,sociology
2112147488,4,,,political science
2119884709,4,,42,psychology
2122712599,4,,,engineering
2126837225,4,,,political science
2127300546,4,,42,media studies
2227406975,4,,42,computer science
2621191016,4,,,sociology
2623990574,4,,42,political science
2702452355,4,,,business
135859997,4,,,art
2750964956,4,,,political science
1464712157,4,,,psychology
2057804447,4,,,sociology
2101865476,4,,,computer science
2113271793,4,,,computer science
2157509789,4,,,art
2479785052,4,,,psychology
203739234,6,,,economics
1427075730,6,,,psychology
2028306733,6,,,psychology
2195431882,6,,,economics
2309567465,6,,,computer science
